<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20010814,00:00:00,195.4500000,196.3500000,195.4500000,196.3500000,0
RI.RTSI,D,20010815,00:00:00,195.3600000,195.3600000,193.9400000,193.9900000,0
RI.RTSI,D,20010816,00:00:00,192.7900000,193.0600000,192.6100000,192.9900000,0
RI.RTSI,D,20010817,00:00:00,193.5800000,194.9500000,192.0100000,192.0100000,0
RI.RTSI,D,20010820,00:00:00,191.0400000,193.2600000,191.0400000,193.2600000,0
RI.RTSI,D,20010821,00:00:00,194.9600000,195.2900000,193.7300000,193.7300000,0
RI.RTSI,D,20010822,00:00:00,194.3500000,199.9400000,194.3500000,199.9400000,0
RI.RTSI,D,20010823,00:00:00,200.7000000,201.2500000,199.4300000,201.2500000,0
RI.RTSI,D,20010824,00:00:00,203.0600000,205.8700000,202.9700000,205.5900000,0
RI.RTSI,D,20010827,00:00:00,208.7300000,212.2500000,208.7300000,210.1100000,0
RI.RTSI,D,20010828,00:00:00,211.1800000,211.5900000,210.2000000,211.5900000,0
RI.RTSI,D,20010829,00:00:00,209.3800000,209.3800000,206.5900000,207.5400000,0
RI.RTSI,D,20010830,00:00:00,204.8500000,205.3100000,202.8600000,202.8600000,0
RI.RTSI,D,20010831,00:00:00,200.9900000,204.3600000,200.9900000,204.3600000,0
RI.RTSI,D,20010903,00:00:00,207.4300000,209.5700000,207.4300000,209.5700000,0
RI.RTSI,D,20010904,00:00:00,212.4800000,212.4800000,210.7900000,210.7900000,0
RI.RTSI,D,20010905,00:00:00,210.6500000,210.6500000,209.0600000,209.7900000,0
RI.RTSI,D,20010906,00:00:00,211.5000000,211.5000000,208.7800000,208.7800000,0
RI.RTSI,D,20010907,00:00:00,208.9300000,208.9300000,207.1900000,207.2100000,0
RI.RTSI,D,20010910,00:00:00,207.4300000,208.2700000,205.1400000,205.5900000,0
RI.RTSI,D,20010911,00:00:00,207.6700000,207.6700000,206.1300000,206.1300000,0
RI.RTSI,D,20010912,00:00:00,200.1500000,200.1500000,193.8800000,195.1100000,0
RI.RTSI,D,20010913,00:00:00,195.6800000,198.6100000,195.6800000,198.6100000,0
RI.RTSI,D,20010914,00:00:00,197.7200000,197.7800000,192.0300000,192.0300000,0
RI.RTSI,D,20010917,00:00:00,188.9000000,190.0200000,186.7100000,189.9300000,0
RI.RTSI,D,20010918,00:00:00,191.8500000,193.9800000,191.8500000,193.9800000,0
RI.RTSI,D,20010919,00:00:00,196.9500000,199.2100000,196.9500000,199.2100000,0
RI.RTSI,D,20010920,00:00:00,196.1500000,196.1500000,193.6000000,193.6000000,0
RI.RTSI,D,20010921,00:00:00,189.4000000,189.4000000,183.5700000,183.6700000,0
